"start","Dedh.Ishqiya.movie."
2013-11-01,8
2013-11-02,6
2013-11-03,12
2013-11-04,12
2013-11-05,15
2013-11-06,17
2013-11-07,15
2013-11-08,30
2013-11-09,24
2013-11-10,39
2013-11-11,32
2013-11-12,18
2013-11-13,26
2013-11-14,24
2013-11-15,7
2013-11-16,12
2013-11-17,16
2013-11-18,12
2013-11-19,8
2013-11-20,10
2013-11-21,10
2013-11-22,13
2013-11-23,6
2013-11-24,9
2013-11-25,17
2013-11-26,22
2013-11-27,32
2013-11-28,18
2013-11-29,14
2013-11-30,14
2013-12-01,17
2013-12-02,20
2013-12-03,23
2013-12-04,13
2013-12-05,17
2013-12-06,30
2013-12-07,18
2013-12-08,39
2013-12-09,48
2013-12-10,27
2013-12-11,54
2013-12-12,74
2013-12-13,52
2013-12-14,69
2013-12-15,96
2013-12-16,56
2013-12-17,46
2013-12-18,73
2013-12-19,59
2013-12-20,61
2013-12-21,78
2013-12-22,73
2013-12-23,68
2013-12-24,100
2013-12-25,81
2013-12-26,71
2013-12-27,96
2013-12-28,74
2013-12-29,90
2013-12-30,68
2013-12-31,76
