"start","Filmistaan.movie."
2014-06-01,6
2014-06-02,6
2014-06-03,5
2014-06-04,8
2014-06-05,21
2014-06-06,64
2014-06-07,100
2014-06-08,90
2014-06-09,54
2014-06-10,53
2014-06-11,41
2014-06-12,40
2014-06-13,40
2014-06-14,57
2014-06-15,43
2014-06-16,24
2014-06-17,23
2014-06-18,21
2014-06-19,17
2014-06-20,23
2014-06-21,26
2014-06-22,23
2014-06-23,12
2014-06-24,10
2014-06-25,9
2014-06-26,9
2014-06-27,10
2014-06-28,12
2014-06-29,10
2014-06-30,7
