"start","David.movie."
2013-09-01,100
2013-09-02,72
2013-09-03,73
2013-09-04,62
2013-09-05,57
2013-09-06,66
2013-09-07,80
2013-09-08,88
2013-09-09,57
2013-09-10,50
2013-09-11,55
2013-09-12,64
2013-09-13,66
2013-09-14,85
2013-09-15,83
2013-09-16,56
2013-09-17,53
2013-09-18,56
2013-09-19,53
2013-09-20,68
2013-09-21,81
2013-09-22,84
2013-09-23,57
2013-09-24,49
2013-09-25,52
2013-09-26,53
2013-09-27,52
2013-09-28,75
2013-09-29,76
2013-09-30,49
