"start","David.movie."
2013-10-01,58
2013-10-02,61
2013-10-03,64
2013-10-04,67
2013-10-05,90
2013-10-06,81
2013-10-07,76
2013-10-08,66
2013-10-09,62
2013-10-10,65
2013-10-11,62
2013-10-12,100
2013-10-13,88
2013-10-14,75
2013-10-15,70
2013-10-16,66
2013-10-17,66
2013-10-18,72
2013-10-19,92
2013-10-20,86
2013-10-21,60
2013-10-22,71
2013-10-23,60
2013-10-24,63
2013-10-25,82
2013-10-26,86
2013-10-27,83
2013-10-28,70
2013-10-29,68
2013-10-30,63
2013-10-31,70
