movies,p0,p1,p2,p3,p4,p5,p6
2 States,27.55555556,64,44,34,29,23,20
300 Rise of an Empire,6.98,66,53,37,28,26,20
47 Ronin,17.95,40,38,33,26,26,21
A Good Day To Die Hard ,10,28,90,100,72,45,37
Aatma,32.857143,42,26,18,14,12,11
ABCD 2,27.8,62,40,32,30,24,19
Action Jackson,29.5,51,35,24,16,13,11
After Earth,23.2,49,36,30,26,23,24
All Is Well,53.77777778,68,42,29,25,18,16
Alone,52.7142857,54,36,26,22,17,15
Aurangzeb,16.8125,49,25,17,13,11,16
Baby,13.2222,55,37,29,29,19,18
Bahubali (Hindi),12.545454,72,48,38,29,22,17
Bajrangi Bhaijaan,25.1666,60,40,29,23,18,14
Bang Bang,28.1875,15,13,14,12,13,13
Besharam,18.8,68,38,21,16,13,10
Bewakoofiyaan,26.2857,55,50,47,46,36,32
Bhaag Milkha Bhaag,4.97058,70,47,40,29,23,18
Bhoot Returns,28.7142,56,33,19,15,14,10
Bhoothnath Returns,22.25,58,49,37,32,30,29
Bhopal A Prayer For Rain,14.3846,40,24,20,11,9,7
Bombay Talkies,20.5,100,47,33,24,19,15
Bombay Velvet,10.4,37,21,13,9,8,7
Brothers,27.272727,51,31,22,18,15,13
Chashme Baddoor,20.5,60,41,35,27,22,18
Chennai Express,20.5,65,47,36,27,22,19
D-Day,14.10527,47,30,20,16,17,13
Daawat-e-Ishq,24.0833333,53,34,23,26,23,19
Dabangg 2,16.5,50,30,22,21,16,14
David,30.6,21,19,19,18,18,19
Dawn of the Planet of the Apes,7.80645,80,64,46,34,26,22
Dedh Ishqiya,23.625,54,36,26,18,17,13
Dhoom 3,21.333333,51,30,22,17,15,13
Dil Dhadakne Do,20.222222,64,38,30,26,22,20
Dirty Politics,24.58,44,31,24,18,13,18
Dolly Ki Doli,26,49,28,23,15,14,12
Dragon Blade,40.42,37,42,33,37,23,19
Drishyam,10.84,64,38,25,19,14,12
Dum Laga Ke Haisha,17.3,16,13,9,9,9,8
Ek Villain,5.21,17,20,64,100,61,44
Everest,25.22,70,41,28,22,23,17
Exodus Gods and Kings,4.89,92,93,79,39,31,24
Fantastic Four,12.2,16,16,13,10,8,6
Filmistaan,19.22,50,24,15,11,8,6
Finding Fanny,29.28,48,30,18,14,11,9
Furious 7,11.9,3,3,3,3,3,3
Gabbar Is Back,21.83,6,5,5,4,4,3
Go Goa Gone,25.75,62,45,29,22,21,18
Godzilla,22.69,55,325,25,22,19,16
Gori Tere Pyaar Mein,17.41,62,43,37,40,30,24
Grand Masti,18,65,44,30,25,20,16
Gunday,21.45,55,34,27,22,18,15
Haider,25.06,7,6,5,4,4,6
Hamari Adhuri Kahani,22.27,62,47,39,32,34,31
Happy Ending,21.25,48,27,19,23,22,16
Hasee Toh Phasee,19.3,68,49,39,33,28,25
Hate Story 2,26.91,66,48,32,28,23,20
Heropanti,26.66,74,55,39,30,22,18
Highway,8,9,12,20,17,18,20
Himmatwala,19.08,7,7,6,7,6,6
Holiday ,18.93,64,44,28,21,17,15
Horror Story,39.8,71,54,54,44,36,33
Humpty Sharma Ki Dulhania,24.87,61,51,39,29,25,22
Humshakals,26.11,46,30,22,19,19,18
Hunterrr,17.2,74,43,27,21,30,23
I (Hindi),47.2,64,45,35,32,27,23
Iron Man 3,4.66,10,15,49,100,81,53
Jackpot,45.11,40,28,21,22,19,16
Jai Ho,15.33,15,18,69,100,51,29
Jazbaa,34.375,50,31,21,16,15,13
Jolly LLB,3.181818181,3,2,2,8,5,3
Jurassic World,7.9,65,46,36,29,24,20
Kai Po Che,1.1875,5,6,44,100,46,29
Katti Batti,17.13333333,44,24,15,11,8,7
Khoobsurat,26,58,37,25,21,16,15
Kill Dil,24.1,53,32,21,17,20,17
Kingsman The Secret Service,20.25,25,21,19,16,16,14
Krrish 3,1.842,6,7,8,8,10,11
Lingaa (Hindi),32.13333333,8,7,7,6,5,5
Mere Dad Ki Maruti,10.7894,85,51,38,26,25,22
Mission Impossible Rogue Nation,13.42857143,67,48,40,39,34,34
Mr. X,46.285714,59,37,29,22,18,19
MSG The Messenger ,25.5,50,35,23,19,11,13
Murder 3,39.8571,54,33,28,24,22,18
Nautanki Saala,30.45454545,57,39,27,22,21,18
NH 10,28.2857143,56,35,18,12,12,10
Oblivion,14.3,91,49,29,21,16,15
Phantom,2.7142857,3,3,3,3,3,3
Piku,22.875,71,48,34,26,19,15
PK,19.2,78,52,37,27,20,17
Policegiri,27.57,61,40,30,28,32,23
Queen,19.69,79,63,45,36,30,25
R Rajkumar,20.45454545,68,51,36,26,20,17
Raanjhanaa,17.1,98,65,44,33,28,26
Race 2,20.833333,65,45,34,25,21,19
Ragini MMS 2,26.375,61,46,39,30,27,24
Ramaiya Vastavaiya,28.5,66,54,45,36,33,32
Robocop ,22.4375,65,48,37,27,28,28
Roy,10.2413,48,33,25,26,29,34
Rudhramadevi (Hindi),46,65,38,24,20,18,16
Tanu Weds Manu Returns,20,80,51,37,31,26,22
Tevar,29.4,49,26,19,15,14,11
The Lunchbox,28,43,23,21,15,14,8
The Shaukeens,33.125,54,36,26,19,18,20
The Xpose,65.375,65,48,32,26,20,15
X Men Days of Future Past ,10.0322,63,41,35,30,26,22
Yaariyan,41.1666,78,56,44,36,30,28
Yeh Jawaani Hai Deewani,29.9047,30,29,27,28,25,25
Youngistaan,35,29,30,29,26,31,34
Zanjeer,15.8965,30,18,13,11,10,9
