"","start","Aatma."
"1",2013-05-01,76
"2",2013-05-02,89
"3",2013-05-03,84
"4",2013-05-04,91
"5",2013-05-05,100
"6",2013-05-06,80
"7",2013-05-07,64
"8",2013-05-08,60
"9",2013-05-09,72
"10",2013-05-10,69
"11",2013-05-11,90
"12",2013-05-12,64
"13",2013-05-13,77
"14",2013-05-14,56
"15",2013-05-15,60
"16",2013-05-16,62
"17",2013-05-17,61
"18",2013-05-18,72
"19",2013-05-19,74
"20",2013-05-20,60
"21",2013-05-21,55
"22",2013-05-22,61
"23",2013-05-23,45
"24",2013-05-24,66
"25",2013-05-25,72
"26",2013-05-26,48
"27",2013-05-27,52
"28",2013-05-28,59
"29",2013-05-29,44
"30",2013-05-30,59
"31",2013-05-31,53
