"start","Dil.Dhadakne.Do.movie."
2015-07-01,67
2015-07-02,62
2015-07-03,71
2015-07-04,100
2015-07-05,95
2015-07-06,56
2015-07-07,54
2015-07-08,51
2015-07-09,58
2015-07-10,62
2015-07-11,93
2015-07-12,80
2015-07-13,51
2015-07-14,41
2015-07-15,47
2015-07-16,45
2015-07-17,60
2015-07-18,93
2015-07-19,75
2015-07-20,45
2015-07-21,41
2015-07-22,42
2015-07-23,44
2015-07-24,46
2015-07-25,69
2015-07-26,61
2015-07-27,39
2015-07-28,41
2015-07-29,37
2015-07-30,32
2015-07-31,41
