"start","Dil.Dhadakne.Do.movie."
2015-06-01,6
2015-06-02,7
2015-06-03,7
2015-06-04,18
2015-06-05,73
2015-06-06,100
2015-06-07,84
2015-06-08,57
2015-06-09,50
2015-06-10,46
2015-06-11,50
2015-06-12,55
2015-06-13,70
2015-06-14,62
2015-06-15,36
2015-06-16,34
2015-06-17,32
2015-06-18,28
2015-06-19,31
2015-06-20,43
2015-06-21,35
2015-06-22,20
2015-06-23,18
2015-06-24,16
2015-06-25,19
2015-06-26,21
2015-06-27,29
2015-06-28,26
2015-06-29,14
2015-06-30,13
