"start","Dum.Laga.Ke.Haisha.movie."
2015-08-01,82
2015-08-02,100
2015-08-03,54
2015-08-04,49
2015-08-05,43
2015-08-06,50
2015-08-07,38
2015-08-08,72
2015-08-09,63
2015-08-10,46
2015-08-11,36
2015-08-12,45
2015-08-13,50
2015-08-14,55
2015-08-15,70
2015-08-16,57
2015-08-17,40
2015-08-18,48
2015-08-19,47
2015-08-20,41
2015-08-21,44
2015-08-22,58
2015-08-23,37
2015-08-24,31
2015-08-25,25
2015-08-26,41
2015-08-27,29
2015-08-28,38
2015-08-29,41
2015-08-30,43
2015-08-31,29
