"start","Dum.Laga.Ke.Haisha.movie."
2015-05-01,59
2015-05-02,79
2015-05-03,73
2015-05-04,43
2015-05-05,37
2015-05-06,44
2015-05-07,39
2015-05-08,47
2015-05-09,66
2015-05-10,59
2015-05-11,43
2015-05-12,39
2015-05-13,47
2015-05-14,48
2015-05-15,45
2015-05-16,66
2015-05-17,55
2015-05-18,46
2015-05-19,47
2015-05-20,42
2015-05-21,51
2015-05-22,50
2015-05-23,100
2015-05-24,87
2015-05-25,43
2015-05-26,45
2015-05-27,36
2015-05-28,34
2015-05-29,43
2015-05-30,45
2015-05-31,46
2015-06-01,26
2015-06-02,28
2015-06-03,33
2015-06-04,31
2015-06-05,44
2015-06-06,51
2015-06-07,68
2015-06-08,44
2015-06-09,30
2015-06-10,35
2015-06-11,32
2015-06-12,32
2015-06-13,41
2015-06-14,34
2015-06-15,23
2015-06-16,20
2015-06-17,28
2015-06-18,21
2015-06-19,22
2015-06-20,33
2015-06-21,30
2015-06-22,18
2015-06-23,21
2015-06-24,21
2015-06-25,23
2015-06-26,25
2015-06-27,33
2015-06-28,45
2015-06-29,30
2015-06-30,27
2015-07-01,24
2015-07-02,25
2015-07-03,30
2015-07-04,47
2015-07-05,41
2015-07-06,28
2015-07-07,27
2015-07-08,30
2015-07-09,28
2015-07-10,37
2015-07-11,74
2015-07-12,59
2015-07-13,30
2015-07-14,29
2015-07-15,25
2015-07-16,24
2015-07-17,23
2015-07-18,35
2015-07-19,27
2015-07-20,18
2015-07-21,21
2015-07-22,17
2015-07-23,16
2015-07-24,25
2015-07-25,24
2015-07-26,23
2015-07-27,21
2015-07-28,19
2015-07-29,16
2015-07-30,17
2015-07-31,23
