"start","Tevar.movie."
2014-11-01,0
2014-11-02,0
2014-11-03,0
2014-11-04,0
2014-11-05,0
2014-11-06,0
2014-11-07,0
2014-11-08,1
2014-11-09,0
2014-11-10,3
2014-11-11,4
2014-11-12,3
2014-11-13,3
2014-11-14,2
2014-11-15,2
2014-11-16,6
2014-11-17,5
2014-11-18,4
2014-11-19,4
2014-11-20,4
2014-11-21,4
2014-11-22,4
2014-11-23,5
2014-11-24,5
2014-11-25,5
2014-11-26,7
2014-11-27,7
2014-11-28,8
2014-11-29,10
2014-11-30,10
2014-12-01,7
2014-12-02,8
2014-12-03,8
2014-12-04,9
2014-12-05,10
2014-12-06,11
2014-12-07,12
2014-12-08,9
2014-12-09,9
2014-12-10,8
2014-12-11,9
2014-12-12,9
2014-12-13,10
2014-12-14,11
2014-12-15,8
2014-12-16,9
2014-12-17,9
2014-12-18,10
2014-12-19,12
2014-12-20,14
2014-12-21,13
2014-12-22,11
2014-12-23,13
2014-12-24,13
2014-12-25,16
2014-12-26,13
2014-12-27,14
2014-12-28,13
2014-12-29,13
2014-12-30,14
2014-12-31,15
2015-01-01,18
2015-01-02,18
2015-01-03,19
2015-01-04,19
2015-01-05,17
2015-01-06,17
2015-01-07,18
2015-01-08,23
2015-01-09,81
2015-01-10,100
2015-01-11,92
2015-01-12,65
2015-01-13,55
2015-01-14,51
2015-01-15,47
2015-01-16,45
2015-01-17,51
2015-01-18,43
2015-01-19,29
2015-01-20,26
2015-01-21,25
2015-01-22,24
2015-01-23,24
2015-01-24,25
2015-01-25,23
2015-01-26,15
2015-01-27,14
2015-01-28,12
2015-01-29,13
2015-01-30,13
2015-01-31,17
