"start","R.Rajkumar.movie."
2014-01-01,100
2014-01-02,75
2014-01-03,84
2014-01-04,91
2014-01-05,88
2014-01-06,61
2014-01-07,57
2014-01-08,59
2014-01-09,55
2014-01-10,56
2014-01-11,72
2014-01-12,63
2014-01-13,57
2014-01-14,50
2014-01-15,42
2014-01-16,45
2014-01-17,47
2014-01-18,60
2014-01-19,55
2014-01-20,43
2014-01-21,40
2014-01-22,41
2014-01-23,41
2014-01-24,44
2014-01-25,53
2014-01-26,51
2014-01-27,36
2014-01-28,35
2014-01-29,36
2014-01-30,37
2014-01-31,38
