"start","R.Rajkumar.movie."
2013-12-01,16
2013-12-02,13
2013-12-03,15
2013-12-04,16
2013-12-05,22
2013-12-06,75
2013-12-07,100
2013-12-08,89
2013-12-09,81
2013-12-10,70
2013-12-11,67
2013-12-12,66
2013-12-13,69
2013-12-14,85
2013-12-15,73
2013-12-16,49
2013-12-17,50
2013-12-18,48
2013-12-19,46
2013-12-20,44
2013-12-21,56
2013-12-22,49
2013-12-23,41
2013-12-24,39
2013-12-25,45
2013-12-26,36
2013-12-27,30
2013-12-28,32
2013-12-29,31
2013-12-30,25
2013-12-31,26
