"start","R.Rajkumar.movie."
2013-10-01,2
2013-10-02,2
2013-10-03,2
2013-10-04,2
2013-10-05,2
2013-10-06,2
2013-10-07,1
2013-10-08,1
2013-10-09,1
2013-10-10,1
2013-10-11,2
2013-10-12,2
2013-10-13,1
2013-10-14,1
2013-10-15,2
2013-10-16,2
2013-10-17,3
2013-10-18,3
2013-10-19,5
2013-10-20,5
2013-10-21,5
2013-10-22,5
2013-10-23,5
2013-10-24,6
2013-10-25,6
2013-10-26,8
2013-10-27,7
2013-10-28,7
2013-10-29,7
2013-10-30,10
2013-10-31,11
2013-11-01,11
2013-11-02,12
2013-11-03,10
2013-11-04,9
2013-11-05,10
2013-11-06,11
2013-11-07,11
2013-11-08,11
2013-11-09,12
2013-11-10,11
2013-11-11,9
2013-11-12,9
2013-11-13,8
2013-11-14,7
2013-11-15,8
2013-11-16,9
2013-11-17,10
2013-11-18,7
2013-11-19,8
2013-11-20,7
2013-11-21,9
2013-11-22,7
2013-11-23,10
2013-11-24,11
2013-11-25,8
2013-11-26,9
2013-11-27,10
2013-11-28,11
2013-11-29,11
2013-11-30,14
2013-12-01,16
2013-12-02,12
2013-12-03,15
2013-12-04,16
2013-12-05,21
2013-12-06,77
2013-12-07,100
2013-12-08,88
2013-12-09,80
2013-12-10,72
2013-12-11,68
2013-12-12,67
2013-12-13,69
2013-12-14,84
2013-12-15,72
2013-12-16,52
2013-12-17,48
2013-12-18,46
2013-12-19,47
2013-12-20,45
2013-12-21,55
2013-12-22,49
2013-12-23,40
2013-12-24,40
2013-12-25,42
2013-12-26,36
2013-12-27,30
2013-12-28,33
2013-12-29,31
2013-12-30,26
2013-12-31,27
