"start","Mr..X.movie."
2015-05-01,81
2015-05-02,100
2015-05-03,72
2015-05-04,62
2015-05-05,51
2015-05-06,46
2015-05-07,54
2015-05-08,49
2015-05-09,71
2015-05-10,58
2015-05-11,49
2015-05-12,33
2015-05-13,49
2015-05-14,49
2015-05-15,34
2015-05-16,40
2015-05-17,37
2015-05-18,39
2015-05-19,28
2015-05-20,30
2015-05-21,37
2015-05-22,31
2015-05-23,37
2015-05-24,29
2015-05-25,24
2015-05-26,22
2015-05-27,25
2015-05-28,26
2015-05-29,28
2015-05-30,35
2015-05-31,36
