movies,T1,T2,T3,T4,T5,T6,W1,W2,W3,W4,W5,W6,lang,gross
Race 2,2073,1521,550,312,125,58,66.77,21.79,4.07,0.8171,0.3677,0.1655,H,96.34
Ragini MMS 2,1822,1210,865,130,58,27,36.41,8.24,1.03,0.155,0.0697,0.0314,H,45.99
Ramaiya Vastavaiya,1373,984,492,96,81,68,21.68,4.11,1.68,0.1072,0.0911,0.0774,H,27.87
Robocop ,326,NA,NA,NA,NA,NA,2.95,NA,NA,NA,NA,NA,E,2.95
Roy,1692,778,15,NA,NA,NA,38.23,2.34,0.0468,NA,NA,NA,H,40.62
Rudhramadevi (Hindi),460,NA,NA,NA,NA,NA,1.95,NA,NN,NA,NA,NA,E,1.95
Tanu Weds Manu Returns,1763,1692,1040,651,448,338,70.02,46.71,19.96,8.01,3.2,1.79,H,151.09
Tevar,1991,972,11,10,8,4,32.64,4.45,0.0375,0.0169,0.007589,0.003415,H,37.16
The Lunchbox,386,386,257,167,140,63,10.1,7.82,1.35,0.6701,0.1338,0.0602,H,20.19
The Shaukeens,1484,873,18,15,NA,NA,18.88,1.98,0.0395,0.0178,NA,NA,H,20.92
The Xpose,1197,436,75,34,16,8,12.16,0.4654,0.0698,0.0314,0.0141,0.006361,H,12.77
X Men Days of Future Past ,930,724,475,360,NA,NA,25.6,12.66,2.6,1,NA,NA,E,38.26
Yaariyan,1204,833,371,237,106,34,25.95,5.66,0.8497,0.546,0.2457,0.0369,H,36.91
Yeh Jawaani Hai Deewani,2202,1374,1032,800,400,110,106.71,46.27,21.48,8.91,1.96,0.4,H,185.83
Youngistaan,1127,552,82,37,37,NA,6.13,0.6287,0.0943,0.0424,0.0191,NA,H,6.91
Zanjeer,1888,187,76,NA,NA,NA,14.1,0.1806,0.0535,NA,NA,NA,H,14.34
