"start","Kill.Dil.movie."
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,0
2014-09-05,0
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,2
2014-09-19,2
2014-09-20,2
2014-09-21,1
2014-09-22,1
2014-09-23,1
2014-09-24,1
2014-09-25,2
2014-09-26,2
2014-09-27,2
2014-09-28,1
2014-09-29,1
2014-09-30,2
2014-10-01,1
2014-10-02,2
2014-10-03,2
2014-10-04,2
2014-10-05,1
2014-10-06,1
2014-10-07,2
2014-10-08,1
2014-10-09,3
2014-10-10,3
2014-10-11,3
2014-10-12,3
2014-10-13,3
2014-10-14,3
2014-10-15,3
2014-10-16,3
2014-10-17,3
2014-10-18,4
2014-10-19,4
2014-10-20,3
2014-10-21,3
2014-10-22,3
2014-10-23,4
2014-10-24,5
2014-10-25,5
2014-10-26,7
2014-10-27,5
2014-10-28,6
2014-10-29,7
2014-10-30,8
2014-10-31,8
2014-11-01,10
2014-11-02,10
2014-11-03,8
2014-11-04,8
2014-11-05,9
2014-11-06,10
2014-11-07,11
2014-11-08,17
2014-11-09,14
2014-11-10,13
2014-11-11,12
2014-11-12,14
2014-11-13,17
2014-11-14,67
2014-11-15,100
2014-11-16,67
2014-11-17,51
2014-11-18,43
2014-11-19,38
2014-11-20,37
2014-11-21,38
2014-11-22,46
2014-11-23,36
2014-11-24,23
2014-11-25,22
2014-11-26,21
2014-11-27,22
2014-11-28,21
2014-11-29,24
2014-11-30,21
