"start","Bajrangi.Bhaijaan.movie."
2015-08-01,100
2015-08-02,88
2015-08-03,62
2015-08-04,54
2015-08-05,51
2015-08-06,51
2015-08-07,56
2015-08-08,70
2015-08-09,65
2015-08-10,41
2015-08-11,37
2015-08-12,35
2015-08-13,35
2015-08-14,42
2015-08-15,54
2015-08-16,49
2015-08-17,34
2015-08-18,31
2015-08-19,30
2015-08-20,29
2015-08-21,32
2015-08-22,42
2015-08-23,40
2015-08-24,24
2015-08-25,22
2015-08-26,22
2015-08-27,22
2015-08-28,27
2015-08-29,34
2015-08-30,32
2015-08-31,19
