"start","Daawat.e.Ishq.movie."
2014-10-01,82
2014-10-02,100
2014-10-03,61
2014-10-04,83
2014-10-05,58
2014-10-06,78
2014-10-07,54
2014-10-08,67
2014-10-09,49
2014-10-10,37
2014-10-11,71
2014-10-12,67
2014-10-13,19
2014-10-14,42
2014-10-15,40
2014-10-16,22
2014-10-17,56
2014-10-18,45
2014-10-19,63
2014-10-20,47
2014-10-21,37
2014-10-22,32
2014-10-23,32
2014-10-24,51
2014-10-25,77
2014-10-26,40
2014-10-27,42
2014-10-28,31
2014-10-29,29
2014-10-30,32
2014-10-31,34
