"V1","V2","V3"
1,102.03,99.0818550106658
2,28.56,39.9399624794996
3,1.55,1.45
4,6.4,9.43468429637611
5,8.78,8.26
6,104.33,112.235182384691
7,57.78,66.7332671979042
8,6,6
9,15.73,16.4145248468883
10,19.37,20.8132167919384
11,22.35,24.7259883110868
12,78.77,81.8522082522187
13,110.94,113.175627190653
14,316.79,308.417447070259
15,144.86,163.346318022121
16,54.02,76.662214869986
17,12.46,13.64167444784
18,108.93,108.588289611346
19,4.96,4.69
20,35.51,40.5890936708396
21,1.36,1.11
22,8.49,7.53620727064695
23,22.14,25.5337881811722
24,78.87,107.474988696601
25,41.68,44.6619049557666
26,218.53,241.900543401058
27,19.56,20.8079947784598
28,24.76,26.3603517159707
29,150.83,161.069232588435
30,3.37,3.3
31,14.05,18.4747325600492
32,25.97,25.6159099745384
33,261.25,276.336346944163
34,76.31,98.0659581711438
35,6.3,5.91
36,12.96,22.927626577331
37,1.95,1.95
38,75.09,72.7959252670837
39,28.61,24.2303482459577
40,98.86,102.657443804907
41,7.5,7.80190734493818
42,13.1,15.7282970373028
43,6.42,6.25
44,6.28,4.55
45,27.61,39.9187670143518
46,96.65,103.008180337255
47,78.77,78.6528128397979
48,25.16,25.9189569055151
49,22.4,32.7944721368743
50,16.32,17.8835149416435
51,93.81,105.246822820939
52,72.91,91.8527954146467
53,50.06,45.9105076173031
54,32.35,40.1417885294968
55,19.47,38.2172992467575
56,35.18,40.729491975161
57,23.46,71.7677365496877
58,50.69,54.6160567842923
59,28.81,30.9309988280238
60,47.45,54.3409773688024
61,110,112.652430923582
62,4.83,4.43
63,75.23,85.9695373682538
64,55.48,77.120053716962
65,10.77,7.96
66,11.22,9.66
67,44.5,44.4881806779737
68,5.23,4.97
69,108.05,115.611664672593
70,20.3,26.9539392677826
71,31.43,29.6329978474193
72,77.3,74.5242014513314
73,48.58,51.0962854163419
74,23.31,34.4929811612618
75,24.75,32.8541071286855
76,30.16,36.5927775164844
77,6.1,4.25
78,198.63,201.368838994208
79,5.03,3.95
80,11.55,7.45
81,48,69.122776277292
82,20.43,22.3697748744538
83,67.21,66.9520112604163
84,18.31,19.6728934176635
85,21.7,23.032387256158
86,29.25,28.4450710734194
87,2.8,2.8
88,50.1,64.099418873658
89,77.78,83.3955081087136
90,324.27,301.200833455113
91,16.81,20.5865639115644
92,56.38,57.22207735034
93,58.09,63.6654476078277
94,58.94,59.7005743340298
95,96.34,104.135499022905
96,45.99,52.7474965022091
97,27.87,30.3042542251466
98,2.95,2.95
99,40.62,57.3135919327694
100,1.95,1.95
101,151.09,141.916804475553
102,37.16,44.3428702092553
103,20.19,26.1141823410706
104,20.92,23.4393045119901
105,12.77,12.16
106,38.26,52.1013491333115
107,36.91,38.7288039395443
108,185.83,178.039160769419
109,6.91,9.09327381167553
110,14.34,14.1
