"start","Dabangg.2.movie."
2013-02-01,79
2013-02-02,100
2013-02-03,91
2013-02-04,70
2013-02-05,59
2013-02-06,66
2013-02-07,67
2013-02-08,65
2013-02-09,95
2013-02-10,80
2013-02-11,60
2013-02-12,68
2013-02-13,48
2013-02-14,54
2013-02-15,60
2013-02-16,85
2013-02-17,89
2013-02-18,46
2013-02-19,42
2013-02-20,41
2013-02-21,44
2013-02-22,50
2013-02-23,59
2013-02-24,54
2013-02-25,30
2013-02-26,39
2013-02-27,35
2013-02-28,30
