"start","X.Men.Days.of.Future.Past.movie."
2014-05-01,5
2014-05-02,6
2014-05-03,7
2014-05-04,6
2014-05-05,6
2014-05-06,6
2014-05-07,5
2014-05-08,6
2014-05-09,6
2014-05-10,8
2014-05-11,9
2014-05-12,8
2014-05-13,11
2014-05-14,10
2014-05-15,10
2014-05-16,12
2014-05-17,16
2014-05-18,18
2014-05-19,14
2014-05-20,15
2014-05-21,20
2014-05-22,33
2014-05-23,72
2014-05-24,100
2014-05-25,88
2014-05-26,68
2014-05-27,52
2014-05-28,46
2014-05-29,43
2014-05-30,42
2014-05-31,58
