"start","X.Men.Days.of.Future.Past.movie."
2014-06-01,100
2014-06-02,54
2014-06-03,55
2014-06-04,49
2014-06-05,51
2014-06-06,54
2014-06-07,70
2014-06-08,68
2014-06-09,42
2014-06-10,37
2014-06-11,35
2014-06-12,33
2014-06-13,35
2014-06-14,46
2014-06-15,49
2014-06-16,31
2014-06-17,27
2014-06-18,29
2014-06-19,33
2014-06-20,34
2014-06-21,43
2014-06-22,42
2014-06-23,27
2014-06-24,26
2014-06-25,24
2014-06-26,23
2014-06-27,30
2014-06-28,37
2014-06-29,38
2014-06-30,21
