"start","Jai.Ho.movie."
2014-02-01,100
2014-02-02,81
2014-02-03,60
2014-02-04,51
2014-02-05,52
2014-02-06,32
2014-02-07,49
2014-02-08,54
2014-02-09,45
2014-02-10,32
2014-02-11,30
2014-02-12,28
2014-02-13,28
2014-02-14,27
2014-02-15,34
2014-02-16,28
2014-02-17,20
2014-02-18,19
2014-02-19,17
2014-02-20,16
2014-02-21,19
2014-02-22,23
2014-02-23,20
2014-02-24,13
2014-02-25,12
2014-02-26,13
2014-02-27,13
2014-02-28,12
