"start","Jai.Ho.movie."
2014-01-01,9
2014-01-02,8
2014-01-03,9
2014-01-04,9
2014-01-05,9
2014-01-06,7
2014-01-07,7
2014-01-08,7
2014-01-09,7
2014-01-10,7
2014-01-11,11
2014-01-12,11
2014-01-13,10
2014-01-14,9
2014-01-15,8
2014-01-16,9
2014-01-17,9
2014-01-18,14
2014-01-19,18
2014-01-20,14
2014-01-21,14
2014-01-22,15
2014-01-23,22
2014-01-24,92
2014-01-25,100
2014-01-26,85
2014-01-27,65
2014-01-28,53
2014-01-29,50
2014-01-30,45
2014-01-31,41
