"start","The.Xpose.movie."
2014-05-01,35
2014-05-02,34
2014-05-03,41
2014-05-04,43
2014-05-05,38
2014-05-06,35
2014-05-07,36
2014-05-08,38
2014-05-09,39
2014-05-10,47
2014-05-11,42
2014-05-12,35
2014-05-13,34
2014-05-14,36
2014-05-15,41
2014-05-16,78
2014-05-17,100
2014-05-18,85
2014-05-19,60
2014-05-20,58
2014-05-21,53
2014-05-22,54
2014-05-23,57
2014-05-24,54
2014-05-25,53
2014-05-26,38
2014-05-27,38
2014-05-28,35
2014-05-29,36
2014-05-30,34
2014-05-31,40
