"start","The.Xpose.movie."
2014-06-01,100
2014-06-02,74
2014-06-03,63
2014-06-04,69
2014-06-05,60
2014-06-06,63
2014-06-07,86
2014-06-08,65
2014-06-09,54
2014-06-10,44
2014-06-11,47
2014-06-12,42
2014-06-13,45
2014-06-14,50
2014-06-15,53
2014-06-16,35
2014-06-17,36
2014-06-18,32
2014-06-19,35
2014-06-20,34
2014-06-21,45
2014-06-22,41
2014-06-23,25
2014-06-24,31
2014-06-25,26
2014-06-26,31
2014-06-27,25
2014-06-28,30
2014-06-29,34
2014-06-30,22
