"start","Alone.movie."
2015-02-01,100
2015-02-02,77
2015-02-03,68
2015-02-04,67
2015-02-05,64
2015-02-06,61
2015-02-07,80
2015-02-08,72
2015-02-09,47
2015-02-10,49
2015-02-11,48
2015-02-12,48
2015-02-13,49
2015-02-14,60
2015-02-15,56
2015-02-16,44
2015-02-17,44
2015-02-18,39
2015-02-19,39
2015-02-20,40
2015-02-21,48
2015-02-22,47
2015-02-23,34
2015-02-24,33
2015-02-25,31
2015-02-26,30
2015-02-27,32
2015-02-28,39
