"","start","Alone."
"1",2015-02-01,98
"2",2015-02-02,80
"3",2015-02-03,79
"4",2015-02-04,78
"5",2015-02-05,77
"6",2015-02-06,80
"7",2015-02-07,90
"8",2015-02-08,89
"9",2015-02-09,74
"10",2015-02-10,74
"11",2015-02-11,74
"12",2015-02-12,74
"13",2015-02-13,82
"14",2015-02-14,100
"15",2015-02-15,90
"16",2015-02-16,76
"17",2015-02-17,76
"18",2015-02-18,73
"19",2015-02-19,72
"20",2015-02-20,75
"21",2015-02-21,83
"22",2015-02-22,86
"23",2015-02-23,70
"24",2015-02-24,68
"25",2015-02-25,68
"26",2015-02-26,70
"27",2015-02-27,70
"28",2015-02-28,78
