"start","Katti.Batti.movie."
2015-10-01,93
2015-10-02,91
2015-10-03,100
2015-10-04,76
2015-10-05,48
2015-10-06,45
2015-10-07,47
2015-10-08,44
2015-10-09,52
2015-10-10,65
2015-10-11,47
2015-10-12,34
2015-10-13,24
2015-10-14,28
2015-10-15,27
2015-10-16,35
2015-10-17,39
2015-10-18,30
2015-10-19,24
2015-10-20,23
2015-10-21,19
2015-10-22,24
2015-10-23,25
2015-10-24,31
2015-10-25,26
2015-10-26,19
2015-10-27,18
2015-10-28,15
2015-10-29,16
2015-10-30,20
2015-10-31,24
