"start","Katti.Batti.movie."
2015-09-01,6
2015-09-02,7
2015-09-03,7
2015-09-04,7
2015-09-05,8
2015-09-06,8
2015-09-07,7
2015-09-08,6
2015-09-09,7
2015-09-10,7
2015-09-11,9
2015-09-12,11
2015-09-13,10
2015-09-14,9
2015-09-15,10
2015-09-16,12
2015-09-17,22
2015-09-18,100
2015-09-19,99
2015-09-20,76
2015-09-21,49
2015-09-22,43
2015-09-23,39
2015-09-24,38
2015-09-25,42
2015-09-26,41
2015-09-27,29
2015-09-28,18
2015-09-29,17
2015-09-30,16
