"start","Race.2.movie."
2013-02-01,73
2013-02-02,100
2013-02-03,84
2013-02-04,60
2013-02-05,51
2013-02-06,47
2013-02-07,45
2013-02-08,51
2013-02-09,66
2013-02-10,60
2013-02-11,36
2013-02-12,35
2013-02-13,31
2013-02-14,32
2013-02-15,37
2013-02-16,46
2013-02-17,41
2013-02-18,27
2013-02-19,26
2013-02-20,25
2013-02-21,26
2013-02-22,29
2013-02-23,31
2013-02-24,31
2013-02-25,18
2013-02-26,18
2013-02-27,17
2013-02-28,19
