"start","Race.2.movie."
2012-11-01,0
2012-11-02,0
2012-11-03,1
2012-11-04,0
2012-11-05,1
2012-11-06,1
2012-11-07,1
2012-11-08,1
2012-11-09,1
2012-11-10,2
2012-11-11,2
2012-11-12,2
2012-11-13,2
2012-11-14,3
2012-11-15,3
2012-11-16,2
2012-11-17,2
2012-11-18,2
2012-11-19,2
2012-11-20,3
2012-11-21,2
2012-11-22,3
2012-11-23,3
2012-11-24,3
2012-11-25,2
2012-11-26,3
2012-11-27,3
2012-11-28,3
2012-11-29,3
2012-11-30,3
2012-12-01,4
2012-12-02,3
2012-12-03,3
2012-12-04,3
2012-12-05,3
2012-12-06,4
2012-12-07,5
2012-12-08,5
2012-12-09,4
2012-12-10,3
2012-12-11,4
2012-12-12,4
2012-12-13,4
2012-12-14,5
2012-12-15,7
2012-12-16,6
2012-12-17,4
2012-12-18,4
2012-12-19,4
2012-12-20,5
2012-12-21,5
2012-12-22,6
2012-12-23,5
2012-12-24,6
2012-12-25,7
2012-12-26,5
2012-12-27,6
2012-12-28,7
2012-12-29,7
2012-12-30,9
2012-12-31,8
2013-01-01,9
2013-01-02,7
2013-01-03,7
2013-01-04,8
2013-01-05,9
2013-01-06,9
2013-01-07,8
2013-01-08,8
2013-01-09,8
2013-01-10,9
2013-01-11,8
2013-01-12,11
2013-01-13,11
2013-01-14,8
2013-01-15,7
2013-01-16,7
2013-01-17,9
2013-01-18,12
2013-01-19,12
2013-01-20,12
2013-01-21,10
2013-01-22,11
2013-01-23,13
2013-01-24,22
2013-01-25,80
2013-01-26,100
2013-01-27,86
2013-01-28,63
2013-01-29,54
2013-01-30,52
2013-01-31,50
