"start","Dragon.Blade.movie."
2015-04-01,100
2015-04-02,99
2015-04-03,71
2015-04-04,90
2015-04-05,57
2015-04-06,39
2015-04-07,36
2015-04-08,45
2015-04-09,30
2015-04-10,32
2015-04-11,48
2015-04-12,45
2015-04-13,28
2015-04-14,35
2015-04-15,38
2015-04-16,60
2015-04-17,53
2015-04-18,67
2015-04-19,59
2015-04-20,41
2015-04-21,28
2015-04-22,24
2015-04-23,29
2015-04-24,31
2015-04-25,45
2015-04-26,44
2015-04-27,38
2015-04-28,37
2015-04-29,24
2015-04-30,41
