"start","The.Shaukeens.movie."
2014-12-01,76
2014-12-02,66
2014-12-03,72
2014-12-04,63
2014-12-05,79
2014-12-06,100
2014-12-07,83
2014-12-08,66
2014-12-09,56
2014-12-10,53
2014-12-11,55
2014-12-12,64
2014-12-13,76
2014-12-14,78
2014-12-15,51
2014-12-16,51
2014-12-17,57
2014-12-18,51
2014-12-19,52
2014-12-20,55
2014-12-21,57
2014-12-22,58
2014-12-23,57
2014-12-24,51
2014-12-25,79
2014-12-26,56
2014-12-27,53
2014-12-28,51
2014-12-29,48
2014-12-30,60
2014-12-31,63
