"","start","All.Is.Well."
"1",2015-09-01,93
"2",2015-09-02,98
"3",2015-09-03,92
"4",2015-09-04,90
"5",2015-09-05,100
"6",2015-09-06,86
"7",2015-09-07,74
"8",2015-09-08,71
"9",2015-09-09,61
"10",2015-09-10,58
"11",2015-09-11,59
"12",2015-09-12,66
"13",2015-09-13,67
"14",2015-09-14,46
"15",2015-09-15,46
"16",2015-09-16,48
"17",2015-09-17,47
"18",2015-09-18,47
"19",2015-09-19,56
"20",2015-09-20,54
"21",2015-09-21,41
"22",2015-09-22,38
"23",2015-09-23,40
"24",2015-09-24,42
"25",2015-09-25,42
"26",2015-09-26,49
"27",2015-09-27,45
"28",2015-09-28,32
"29",2015-09-29,33
"30",2015-09-30,31
