"start","Yeh.Jawaani.Hai.Deewani.movie."
2013-08-01,53
2013-08-02,61
2013-08-03,87
2013-08-04,81
2013-08-05,45
2013-08-06,48
2013-08-07,51
2013-08-08,54
2013-08-09,64
2013-08-10,90
2013-08-11,86
2013-08-12,63
2013-08-13,59
2013-08-14,51
2013-08-15,53
2013-08-16,69
2013-08-17,100
2013-08-18,83
2013-08-19,53
2013-08-20,49
2013-08-21,50
2013-08-22,54
2013-08-23,54
2013-08-24,95
2013-08-25,70
2013-08-26,46
2013-08-27,52
2013-08-28,59
2013-08-29,54
2013-08-30,70
2013-08-31,77
