"start","Yeh.Jawaani.Hai.Deewani.movie."
2013-09-01,75
2013-09-02,65
2013-09-03,48
2013-09-04,47
2013-09-05,59
2013-09-06,68
2013-09-07,92
2013-09-08,95
2013-09-09,61
2013-09-10,37
2013-09-11,49
2013-09-12,55
2013-09-13,55
2013-09-14,85
2013-09-15,81
2013-09-16,48
2013-09-17,47
2013-09-18,66
2013-09-19,41
2013-09-20,75
2013-09-21,74
2013-09-22,76
2013-09-23,47
2013-09-24,40
2013-09-25,48
2013-09-26,39
2013-09-27,51
2013-09-28,100
2013-09-29,87
2013-09-30,55
