"start","Dhoom.3.movie."
2013-12-01,4
2013-12-02,3
2013-12-03,4
2013-12-04,4
2013-12-05,4
2013-12-06,5
2013-12-07,6
2013-12-08,5
2013-12-09,4
2013-12-10,5
2013-12-11,4
2013-12-12,5
2013-12-13,6
2013-12-14,7
2013-12-15,6
2013-12-16,6
2013-12-17,6
2013-12-18,8
2013-12-19,14
2013-12-20,81
2013-12-21,100
2013-12-22,80
2013-12-23,64
2013-12-24,64
2013-12-25,64
2013-12-26,48
2013-12-27,41
2013-12-28,43
2013-12-29,37
2013-12-30,31
2013-12-31,30
