"start","Dhoom.3.movie."
2013-10-01,29
2013-10-02,22
2013-10-03,23
2013-10-04,23
2013-10-05,30
2013-10-06,27
2013-10-07,20
2013-10-08,22
2013-10-09,22
2013-10-10,22
2013-10-11,28
2013-10-12,32
2013-10-13,26
2013-10-14,24
2013-10-15,24
2013-10-16,22
2013-10-17,26
2013-10-18,24
2013-10-19,27
2013-10-20,33
2013-10-21,22
2013-10-22,18
2013-10-23,17
2013-10-24,20
2013-10-25,22
2013-10-26,29
2013-10-27,24
2013-10-28,23
2013-10-29,25
2013-10-30,33
2013-10-31,51
2013-11-01,60
2013-11-02,63
2013-11-03,56
2013-11-04,51
2013-11-05,48
2013-11-06,46
2013-11-07,51
2013-11-08,57
2013-11-09,70
2013-11-10,57
2013-11-11,50
2013-11-12,48
2013-11-13,39
2013-11-14,59
2013-11-15,71
2013-11-16,100
2013-11-17,86
2013-11-18,64
2013-11-19,63
2013-11-20,67
2013-11-21,70
2013-11-22,71
2013-11-23,96
2013-11-24,81
2013-11-25,63
2013-11-26,68
2013-11-27,60
2013-11-28,66
2013-11-29,84
2013-11-30,100
