"start","Dhoom.3.movie."
2014-02-01,100
2014-02-02,90
2014-02-03,59
2014-02-04,59
2014-02-05,58
2014-02-06,46
2014-02-07,62
2014-02-08,81
2014-02-09,75
2014-02-10,48
2014-02-11,49
2014-02-12,43
2014-02-13,48
2014-02-14,54
2014-02-15,72
2014-02-16,64
2014-02-17,45
2014-02-18,40
2014-02-19,42
2014-02-20,45
2014-02-21,49
2014-02-22,64
2014-02-23,57
2014-02-24,39
2014-02-25,37
2014-02-26,37
2014-02-27,43
2014-02-28,44
