"start","end","Bang.Bang.movie."
2014-07-06,2014-07-12,3
2014-07-13,2014-07-19,3
2014-07-20,2014-07-26,9
2014-07-27,2014-08-02,8
2014-08-03,2014-08-09,7
2014-08-10,2014-08-16,6
2014-08-17,2014-08-23,9
2014-08-24,2014-08-30,14
2014-08-31,2014-09-06,15
2014-09-07,2014-09-13,15
2014-09-14,2014-09-20,16
2014-09-21,2014-09-27,20
2014-09-28,2014-10-04,90
2014-10-05,2014-10-11,100
2014-10-12,2014-10-18,56
2014-10-19,2014-10-25,38
2014-10-26,2014-11-01,27
