"start","Bang.Bang.movie."
2014-11-01,100
2014-11-02,89
2014-11-03,61
2014-11-04,55
2014-11-05,54
2014-11-06,57
2014-11-07,59
2014-11-08,78
2014-11-09,68
2014-11-10,45
2014-11-11,45
2014-11-12,43
2014-11-13,45
2014-11-14,49
2014-11-15,64
2014-11-16,57
2014-11-17,36
2014-11-18,35
2014-11-19,36
2014-11-20,39
2014-11-21,46
2014-11-22,59
2014-11-23,59
2014-11-24,42
2014-11-25,39
2014-11-26,41
2014-11-27,43
2014-11-28,47
2014-11-29,57
2014-11-30,54
