"V1","V2","V3"
1,102.03,97.3298992626799
2,28.56,35.4929471383219
3,1.55,1.45
4,6.4,5.96826271744401
5,8.78,8.26
6,104.33,107.848807527383
7,57.78,63.8556392341133
8,6,6
9,15.73,13.6305733069964
10,19.37,19.8118623919707
11,22.35,21.2103654088997
12,78.77,80.0524149682419
13,110.94,95.6019324102922
14,316.79,304.395486228641
15,144.86,150.163529421392
16,54.02,67.375414402893
17,12.46,9.87344381981229
18,108.93,102.577138602417
19,4.96,4.69
20,35.51,36.8712677815061
21,1.36,1.11
22,8.49,3.79479190713563
23,22.14,20.9197246945556
24,78.87,97.5254845246203
25,41.68,41.4269579137533
26,218.53,237.649919335879
27,19.56,18.9946139394562
28,24.76,25.1315690271471
29,150.83,155.513763757056
30,3.37,3.3
31,14.05,13.8400700418908
32,25.97,22.817536451061
33,261.25,267.525763205122
34,76.31,84.7235131067854
35,6.3,5.91
36,12.96,16.1517424563357
37,1.95,1.95
38,75.09,72.1058629789799
39,28.61,20.1922305442693
40,98.86,99.582741397387
41,7.5,3.28857871176471
42,13.1,11.771030015396
43,6.42,6.25
44,6.28,4.55
45,27.61,28.8550214259236
46,96.65,98.6825480954119
47,78.77,76.0732676684495
48,25.16,24.1747835114567
49,22.4,24.1600787774226
50,16.32,13.1485026788828
51,93.81,99.5206529347296
52,72.91,81.8160834703361
53,50.06,39.3627398137379
54,32.35,33.4489930961789
55,19.47,29.6729658662661
56,35.18,38.3655039255988
57,23.46,52.3966989174905
58,50.69,52.2184768136209
59,28.81,27.8637704217293
60,47.45,52.3011493567451
61,110,109.980718848613
62,4.83,4.43
63,75.23,83.5785487681245
64,55.48,65.4493699252005
65,10.77,7.96
66,11.22,9.66
67,44.5,41.1983619651925
68,5.23,4.97
69,108.05,112.582189269735
70,20.3,17.7922982275759
71,31.43,27.4374086173997
72,77.3,70.1593688631076
73,48.58,43.3533170817522
74,23.31,23.2006474264442
75,24.75,29.8600212019113
76,30.16,33.606951228811
77,6.1,4.25
78,198.63,196.897179835919
79,5.03,3.95
80,11.55,7.45
81,48,59.8481182873981
82,20.43,19.1976392610756
83,67.21,62.3059368876182
84,18.31,16.2104068483305
85,21.7,19.7210720865642
86,29.25,27.6328503954813
87,2.8,2.8
88,50.1,58.2361879792478
89,77.78,81.2651070147324
90,324.27,295.612851623072
91,16.81,17.370998450123
92,56.38,48.5817392677425
93,58.09,59.090309450504
94,58.94,56.6946275038802
95,96.34,102.903728415283
96,45.99,48.1302447713552
97,27.87,26.9912452980869
98,2.95,2.95
99,40.62,48.6049321097283
100,1.95,1.95
101,151.09,129.344457888246
102,37.16,41.6674407268372
103,20.19,22.3563247683053
104,20.92,20.1027877164199
105,12.77,12.16
106,38.26,48.4085950125198
107,36.91,32.6915994474309
108,185.83,171.391847252892
109,6.91,7.70795530020138
110,14.34,14.1
