"start","Dirty.Politics.movie."
2015-04-01,71
2015-04-02,88
2015-04-03,85
2015-04-04,100
2015-04-05,78
2015-04-06,65
2015-04-07,58
2015-04-08,58
2015-04-09,45
2015-04-10,54
2015-04-11,58
2015-04-12,56
2015-04-13,46
2015-04-14,41
2015-04-15,44
2015-04-16,44
2015-04-17,46
2015-04-18,62
2015-04-19,51
2015-04-20,44
2015-04-21,58
2015-04-22,52
2015-04-23,68
2015-04-24,66
2015-04-25,80
2015-04-26,65
2015-04-27,49
2015-04-28,43
2015-04-29,36
2015-04-30,47
