"start","Dirty.Politics.movie."
2015-03-01,10
2015-03-02,8
2015-03-03,11
2015-03-04,20
2015-03-05,26
2015-03-06,69
2015-03-07,100
2015-03-08,80
2015-03-09,63
2015-03-10,50
2015-03-11,49
2015-03-12,45
2015-03-13,44
2015-03-14,42
2015-03-15,32
2015-03-16,26
2015-03-17,23
2015-03-18,23
2015-03-19,20
2015-03-20,24
2015-03-21,21
2015-03-22,23
2015-03-23,18
2015-03-24,14
2015-03-25,16
2015-03-26,12
2015-03-27,16
2015-03-28,18
2015-03-29,14
2015-03-30,9
2015-03-31,10
