"start","Holiday.movie."
2014-06-01,15
2014-06-02,11
2014-06-03,12
2014-06-04,14
2014-06-05,23
2014-06-06,76
2014-06-07,100
2014-06-08,92
2014-06-09,67
2014-06-10,56
2014-06-11,54
2014-06-12,50
2014-06-13,49
2014-06-14,61
2014-06-15,55
2014-06-16,38
2014-06-17,35
2014-06-18,33
2014-06-19,34
2014-06-20,37
2014-06-21,43
2014-06-22,39
2014-06-23,28
2014-06-24,24
2014-06-25,22
2014-06-26,21
2014-06-27,24
2014-06-28,26
2014-06-29,24
2014-06-30,16
