"start","end","Holiday.movie."
2014-03-02,2014-03-08,5
2014-03-09,2014-03-15,4
2014-03-16,2014-03-22,4
2014-03-23,2014-03-29,4
2014-03-30,2014-04-05,4
2014-04-06,2014-04-12,6
2014-04-13,2014-04-19,10
2014-04-20,2014-04-26,10
2014-04-27,2014-05-03,15
2014-05-04,2014-05-10,15
2014-05-11,2014-05-17,14
2014-05-18,2014-05-24,14
2014-05-25,2014-05-31,19
2014-06-01,2014-06-07,56
2014-06-08,2014-06-14,100
2014-06-15,2014-06-21,63
2014-06-22,2014-06-28,43
2014-06-29,2014-07-05,27
