"start","Gabbar.Is.Back.movie."
2015-10-01,89
2015-10-02,89
2015-10-03,100
2015-10-04,96
2015-10-05,50
2015-10-06,62
2015-10-07,64
2015-10-08,67
2015-10-09,78
2015-10-10,92
2015-10-11,93
2015-10-12,64
2015-10-13,55
2015-10-14,58
2015-10-15,59
2015-10-16,70
2015-10-17,78
2015-10-18,91
2015-10-19,59
2015-10-20,60
2015-10-21,65
2015-10-22,74
2015-10-23,79
2015-10-24,91
2015-10-25,99
2015-10-26,62
2015-10-27,59
2015-10-28,60
2015-10-29,68
2015-10-30,79
2015-10-31,86
