"start","Gabbar.Is.Back.movie."
2015-09-01,69
2015-09-02,73
2015-09-03,74
2015-09-04,79
2015-09-05,100
2015-09-06,96
2015-09-07,70
2015-09-08,59
2015-09-09,66
2015-09-10,66
2015-09-11,70
2015-09-12,81
2015-09-13,99
2015-09-14,64
2015-09-15,55
2015-09-16,64
2015-09-17,57
2015-09-18,56
2015-09-19,91
2015-09-20,85
2015-09-21,48
2015-09-22,58
2015-09-23,41
2015-09-24,52
2015-09-25,58
2015-09-26,83
2015-09-27,79
2015-09-28,42
2015-09-29,41
2015-09-30,43
