"start","Drishyam.movie."
2015-08-01,100
2015-08-02,87
2015-08-03,65
2015-08-04,58
2015-08-05,54
2015-08-06,52
2015-08-07,58
2015-08-08,74
2015-08-09,64
2015-08-10,42
2015-08-11,36
2015-08-12,32
2015-08-13,32
2015-08-14,36
2015-08-15,47
2015-08-16,40
2015-08-17,24
2015-08-18,21
2015-08-19,19
2015-08-20,19
2015-08-21,20
2015-08-22,29
2015-08-23,25
2015-08-24,14
2015-08-25,13
2015-08-26,12
2015-08-27,13
2015-08-28,16
2015-08-29,22
2015-08-30,18
2015-08-31,11
