"start","end","Iron.Man.3.movie."
2012-10-07,2012-10-13,20
2012-10-14,2012-10-20,22
2012-10-21,2012-10-27,100
2012-10-28,2012-11-03,49
2012-11-04,2012-11-10,27
2012-11-11,2012-11-17,28
2012-11-18,2012-11-24,24
2012-11-25,2012-12-01,23
2012-12-02,2012-12-08,24
2012-12-09,2012-12-15,27
2012-12-16,2012-12-22,29
2012-12-23,2012-12-29,30
2012-12-30,2013-01-05,37
2013-01-06,2013-01-12,35
2013-01-13,2013-01-19,35
2013-01-20,2013-01-26,34
2013-01-27,2013-02-02,35
2013-02-03,2013-02-09,64
2013-02-10,2013-02-16,39
2013-02-17,2013-02-23,39
2013-02-24,2013-03-02,46
2013-03-03,2013-03-09,67
2013-03-10,2013-03-16,54
2013-03-17,2013-03-23,53
2013-03-24,2013-03-30,68
2013-03-31,2013-04-06,74
