"start","Phantom.movie."
2015-05-01,73
2015-05-02,100
2015-05-03,93
2015-05-04,95
2015-05-05,89
2015-05-06,76
2015-05-07,84
2015-05-08,80
2015-05-09,87
2015-05-10,99
2015-05-11,70
2015-05-12,77
2015-05-13,71
2015-05-14,59
2015-05-15,59
2015-05-16,90
2015-05-17,90
2015-05-18,78
2015-05-19,59
2015-05-20,64
2015-05-21,75
2015-05-22,76
2015-05-23,86
2015-05-24,90
2015-05-25,89
2015-05-26,61
2015-05-27,73
2015-05-28,51
2015-05-29,67
2015-05-30,93
2015-05-31,88
