"start","Phantom.movie."
2015-06-01,43
2015-06-02,50
2015-06-03,46
2015-06-04,40
2015-06-05,63
2015-06-06,55
2015-06-07,64
2015-06-08,42
2015-06-09,37
2015-06-10,48
2015-06-11,45
2015-06-12,47
2015-06-13,62
2015-06-14,52
2015-06-15,51
2015-06-16,52
2015-06-17,48
2015-06-18,44
2015-06-19,75
2015-06-20,100
2015-06-21,85
2015-06-22,66
2015-06-23,57
2015-06-24,53
2015-06-25,52
2015-06-26,57
2015-06-27,66
2015-06-28,58
2015-06-29,44
2015-06-30,39
