"start","Krrish.3.movie."
2013-09-01,46
2013-09-02,34
2013-09-03,32
2013-09-04,31
2013-09-05,32
2013-09-06,36
2013-09-07,37
2013-09-08,46
2013-09-09,31
2013-09-10,35
2013-09-11,40
2013-09-12,54
2013-09-13,58
2013-09-14,75
2013-09-15,78
2013-09-16,57
2013-09-17,49
2013-09-18,59
2013-09-19,81
2013-09-20,74
2013-09-21,99
2013-09-22,90
2013-09-23,55
2013-09-24,63
2013-09-25,67
2013-09-26,73
2013-09-27,81
2013-09-28,100
2013-09-29,90
2013-09-30,69
