"start","Ramaiya.Vastavaiya.movie."
2013-05-01,1
2013-05-02,1
2013-05-03,1
2013-05-04,2
2013-05-05,1
2013-05-06,1
2013-05-07,1
2013-05-08,1
2013-05-09,1
2013-05-10,2
2013-05-11,3
2013-05-12,4
2013-05-13,3
2013-05-14,5
2013-05-15,5
2013-05-16,5
2013-05-17,7
2013-05-18,8
2013-05-19,6
2013-05-20,10
2013-05-21,8
2013-05-22,8
2013-05-23,7
2013-05-24,7
2013-05-25,8
2013-05-26,6
2013-05-27,7
2013-05-28,7
2013-05-29,6
2013-05-30,6
2013-05-31,7
2013-06-01,8
2013-06-02,8
2013-06-03,9
2013-06-04,8
2013-06-05,11
2013-06-06,9
2013-06-07,10
2013-06-08,14
2013-06-09,11
2013-06-10,10
2013-06-11,11
2013-06-12,10
2013-06-13,10
2013-06-14,13
2013-06-15,14
2013-06-16,14
2013-06-17,9
2013-06-18,12
2013-06-19,11
2013-06-20,11
2013-06-21,13
2013-06-22,17
2013-06-23,14
2013-06-24,13
2013-06-25,12
2013-06-26,12
2013-06-27,13
2013-06-28,12
2013-06-29,18
2013-06-30,16
2013-07-01,13
2013-07-02,12
2013-07-03,12
2013-07-04,14
2013-07-05,14
2013-07-06,19
2013-07-07,16
2013-07-08,12
2013-07-09,12
2013-07-10,11
2013-07-11,10
2013-07-12,13
2013-07-13,18
2013-07-14,19
2013-07-15,13
2013-07-16,15
2013-07-17,17
2013-07-18,23
2013-07-19,80
2013-07-20,100
2013-07-21,87
2013-07-22,75
2013-07-23,62
2013-07-24,65
2013-07-25,61
2013-07-26,60
2013-07-27,74
2013-07-28,63
2013-07-29,44
2013-07-30,43
2013-07-31,39
