"start","Ramaiya.Vastavaiya.movie."
2013-08-01,78
2013-08-02,83
2013-08-03,100
2013-08-04,94
2013-08-05,65
2013-08-06,66
2013-08-07,57
2013-08-08,59
2013-08-09,73
2013-08-10,85
2013-08-11,75
2013-08-12,52
2013-08-13,52
2013-08-14,51
2013-08-15,63
2013-08-16,63
2013-08-17,76
2013-08-18,65
2013-08-19,45
2013-08-20,45
2013-08-21,45
2013-08-22,44
2013-08-23,46
2013-08-24,57
2013-08-25,51
2013-08-26,34
2013-08-27,35
2013-08-28,42
2013-08-29,40
2013-08-30,47
2013-08-31,56
