"start","Ramaiya.Vastavaiya.movie."
2013-07-01,12
2013-07-02,12
2013-07-03,12
2013-07-04,14
2013-07-05,12
2013-07-06,19
2013-07-07,15
2013-07-08,12
2013-07-09,11
2013-07-10,12
2013-07-11,10
2013-07-12,13
2013-07-13,18
2013-07-14,17
2013-07-15,12
2013-07-16,14
2013-07-17,15
2013-07-18,23
2013-07-19,77
2013-07-20,100
2013-07-21,88
2013-07-22,69
2013-07-23,58
2013-07-24,62
2013-07-25,59
2013-07-26,60
2013-07-27,72
2013-07-28,59
2013-07-29,42
2013-07-30,42
2013-07-31,36
