"start","Rudhramadevi..Hindi..movie."
2015-10-01,5
2015-10-02,8
2015-10-03,5
2015-10-04,9
2015-10-05,10
2015-10-06,10
2015-10-07,9
2015-10-08,13
2015-10-09,52
2015-10-10,95
2015-10-11,87
2015-10-12,100
2015-10-13,84
2015-10-14,93
2015-10-15,100
2015-10-16,76
2015-10-17,94
2015-10-18,84
2015-10-19,64
2015-10-20,60
2015-10-21,45
2015-10-22,38
2015-10-23,56
2015-10-24,66
2015-10-25,40
2015-10-26,34
2015-10-27,28
2015-10-28,28
2015-10-29,31
2015-10-30,36
2015-10-31,36
