"start","Rudhramadevi..Hindi..movie."
2015-10-01,5
2015-10-02,9
2015-10-03,4
2015-10-04,8
2015-10-05,11
2015-10-06,12
2015-10-07,9
2015-10-08,14
2015-10-09,52
2015-10-10,96
2015-10-11,91
2015-10-12,100
2015-10-13,85
2015-10-14,93
2015-10-15,97
2015-10-16,80
2015-10-17,93
2015-10-18,87
2015-10-19,68
2015-10-20,64
2015-10-21,49
2015-10-22,38
2015-10-23,62
2015-10-24,68
2015-10-25,38
2015-10-26,36
2015-10-27,32
2015-10-28,30
2015-10-29,32
2015-10-30,40
2015-10-31,39
