"start","Rudhramadevi..Hindi..movie."
2015-11-01,100
2015-11-02,75
2015-11-03,57
2015-11-04,47
2015-11-05,68
2015-11-06,61
2015-11-07,64
2015-11-08,56
2015-11-09,63
2015-11-10,57
2015-11-11,55
2015-11-12,37
2015-11-13,54
2015-11-14,54
2015-11-15,58
2015-11-16,49
2015-11-17,40
2015-11-18,42
2015-11-19,37
2015-11-20,32
2015-11-21,57
2015-11-22,46
2015-11-23,49
2015-11-24,43
2015-11-25,42
2015-11-26,38
2015-11-27,34
2015-11-28,54
2015-11-29,40
2015-11-30,37
