"start","Highway.movie."
2013-12-01,13
2013-12-02,10
2013-12-03,9
2013-12-04,10
2013-12-05,14
2013-12-06,14
2013-12-07,14
2013-12-08,15
2013-12-09,11
2013-12-10,9
2013-12-11,11
2013-12-12,11
2013-12-13,11
2013-12-14,20
2013-12-15,16
2013-12-16,49
2013-12-17,100
2013-12-18,68
2013-12-19,44
2013-12-20,37
2013-12-21,49
2013-12-22,41
2013-12-23,32
2013-12-24,36
2013-12-25,38
2013-12-26,32
2013-12-27,32
2013-12-28,40
2013-12-29,44
2013-12-30,37
2013-12-31,38
