"start","Go.Goa.Gone.movie."
2013-06-01,100
2013-06-02,79
2013-06-03,61
2013-06-04,44
2013-06-05,53
2013-06-06,50
2013-06-07,58
2013-06-08,60
2013-06-09,58
2013-06-10,43
2013-06-11,39
2013-06-12,39
2013-06-13,36
2013-06-14,46
2013-06-15,56
2013-06-16,58
2013-06-17,36
2013-06-18,37
2013-06-19,36
2013-06-20,39
2013-06-21,36
2013-06-22,50
2013-06-23,41
2013-06-24,32
2013-06-25,26
2013-06-26,28
2013-06-27,24
2013-06-28,34
2013-06-29,47
2013-06-30,36
