"start","Go.Goa.Gone.movie."
2013-06-01,100
2013-06-02,80
2013-06-03,62
2013-06-04,48
2013-06-05,50
2013-06-06,47
2013-06-07,57
2013-06-08,58
2013-06-09,56
2013-06-10,43
2013-06-11,36
2013-06-12,37
2013-06-13,36
2013-06-14,45
2013-06-15,56
2013-06-16,54
2013-06-17,34
2013-06-18,37
2013-06-19,33
2013-06-20,34
2013-06-21,35
2013-06-22,51
2013-06-23,42
2013-06-24,30
2013-06-25,28
2013-06-26,30
2013-06-27,22
2013-06-28,34
2013-06-29,45
2013-06-30,36
